Tempos bubbleSort: 281219400, 265652600, 249968700, 265544900, 249967800, 265598600, 249969800, 250030300, 234410500, 234345300, 265593700, 249969600, 249978300, 249972200, 249982700, 249915600, 249964900, 249962500, 249916500, 234352000, 234338600, 234404500, 265652900, 249971000, 249972200, 234346000, 265530800, 265586400, 234346300, 234353400, 265601200, 281219800, 249968500, 249973900, 249916700, 234341300, 281218900, 250027700, 234345400, 249972700, 249973700, 249983700, 249978600, 249963600, 249973700, 249974400, 249973800, 249977000, 249972000, 249973200, 249977900, 249914500, 234351300, 234341100, 249912100, 249972700, 234347900, 234295100, 249971100, 250029500, 249987900, 249976100, 249972400, 249974700, 234356500, 249974500, 249977900, 249972600, 250032300, 234410500, 234350500, 234408900, 249972600, 249962800, 265597800, 265588600, 265654800, 234350200, 249979300, 249977100, 249976100, 250031800, 249973400, 249966300, 249914700, 250029800, 249913500, 234352700, 234348700, 250034000, 249972600, 281219400, 281224700, 265597900, 281214600, 281219300, 281216900, 281234700, 265592300, 281223300, 
Tempos gerar Lista bubbleSort: 109420500, 109304900, 124992300, 109374500, 109419200, 109352800, 109372800, 109295100, 124930200, 124987300, 124986400, 124997200, 109358400, 109354900, 124987100, 109354700, 109426700, 109373500, 109364100, 125043400, 124993200, 124931400, 109307600, 109367900, 109360600, 109364800, 124997200, 124996500, 125045700, 124988300, 109359000, 124984600, 109363200, 109361300, 109362800, 125049200, 124932400, 109362700, 124992300, 124985600, 109364000, 109363100, 109350700, 109368300, 109368000, 109354800, 109363100, 109368900, 109351500, 109363000, 109366100, 109358500, 109424300, 124987300, 109369000, 109424100, 109358000, 124986500, 125049900, 109301600, 109346300, 109363200, 109304600, 109417900, 124985800, 109355800, 109360500, 109303800, 109364100, 124926300, 124979600, 124931200, 109369900, 109363200, 109364900, 124992200, 124928700, 124984100, 124985400, 109359200, 109361400, 124922700, 109361300, 109366700, 109365900, 109363000, 109365700, 125042500, 124984000, 109306900, 109358400, 124985600, 124986500, 124980300, 124990500, 124986600, 124988800, 124986400, 124975100, 124988200, 
Tempos optimizedBubbleSort: 156233800, 156226300, 156232000, 156233200, 156240600, 156216100, 156234800, 156238100, 171855800, 140612900, 156227200, 140611300, 156235500, 156229800, 156230400, 140614800, 140615600, 156238800, 156224600, 156232800, 156233000, 140604700, 140615000, 156238900, 156228000, 156234400, 171845600, 156228900, 140606300, 140604200, 140616100, 156235500, 156236600, 156230800, 156244200, 156235500, 156227800, 171863800, 140604000, 156226600, 156222100, 156229600, 156230600, 156236900, 156238900, 156226700, 156243800, 156238700, 156228500, 156242200, 156239000, 156227300, 156233800, 140609800, 140605500, 156245900, 140618900, 156234600, 140612000, 156221100, 140619100, 156224300, 166364900, 156229400, 178822300, 167891900, 150038300, 158176700, 157746700, 158554100, 157943900, 166939700, 156420500, 178231000, 171857900, 158020500, 156223800, 174624000, 155134600, 162135800, 156237700, 156778100, 165902600, 166610400, 158700700, 157321800, 164192800, 158436300, 158287000, 167037900, 166566300, 167087900, 167017500, 162415100, 162691000, 158320000, 158288000, 175546900, 166518800, 166374900, 
Tempos gerar Lista optimizedBubbleSort: 124979900, 124995600, 124987400, 124984700, 124985500, 124996000, 124987800, 109359000, 109363900, 109358600, 124989900, 124988900, 124986500, 124982200, 124988900, 124986600, 124982900, 124978000, 109365800, 109366700, 109369100, 124986300, 124986300, 124982000, 109358300, 109364100, 109372500, 109370300, 124986500, 124995600, 124983000, 124983000, 124979800, 124986100, 124984900, 109353500, 124988100, 109362300, 124987500, 109367800, 109375700, 109363800, 124992100, 124984200, 124982300, 124986400, 109363000, 124977300, 124983800, 109362800, 124977200, 124987900, 124986300, 124986400, 124989200, 124988900, 109349300, 124980500, 109358400, 124993300, 124987300, 124986800, 124991200, 113109900, 109365000, 125179400, 131921900, 124761300, 125467200, 117042000, 124776300, 126680800, 124843800, 121837100, 139899300, 125144100, 115740300, 109305800, 126696900, 124991800, 135343300, 134675600, 133877500, 126086600, 125066400, 133668900, 139736000, 120950100, 124832300, 124661500, 124652900, 116664700, 124496600, 123540900, 112472300, 124925300, 116353200, 116744800, 116053500, 125047100, 
Tempos selectionSort: 119141800, 133254700, 124994100, 126994200, 175026400, 202613600, 190538800, 187870400, 200634900, 194455300, 201742200, 199870600, 199969500, 166063000, 221289500, 200333900, 196690500, 187031400, 200256300, 193701700, 191988000, 189105500, 200822200, 211874900, 196868300, 196465400, 174870100, 195118600, 201111800, 191579100, 200069700, 202856500, 205703200, 194561400, 207227400, 200301000, 200511800, 208088300, 205366300, 187477900, 204522000, 206639100, 187084400, 203105300, 198119300, 193739600, 188379100, 200890500, 193512200, 206582200, 191167600, 199548300, 212102100, 197780000, 206193300, 187535000, 201316200, 183146600, 200066200, 202267000, 200166500, 191683700, 181284500, 202822000, 205378100, 192105100, 192488400, 195652400, 204220400, 199026300, 200687400, 195268800, 203953400, 203163300, 210016600, 200325800, 201140900, 175253200, 192309700, 199984100, 198997400, 206955900, 200405100, 207917800, 229997100, 189997800, 187487900, 203102900, 212364600, 149892400, 120436800, 187543600, 187472900, 188844700, 204227800, 124992400, 125180100, 235120300, 116618200, 116134200, 
Tempos gerar Lista selectionSort: 130793500, 116613800, 116593100, 112542600, 123974100, 192731000, 188690600, 202305700, 196199300, 198153700, 202567900, 206668700, 200121900, 174672300, 167415700, 189929300, 199970000, 195683000, 185030800, 186917300, 190882900, 206526100, 195852900, 189853000, 191423500, 192696700, 192512400, 196549900, 199802600, 198644200, 191978600, 190999900, 185324200, 195869200, 196402900, 192701800, 192867800, 183324500, 184152800, 200546100, 195346600, 176858400, 201102200, 188363100, 189972900, 203262000, 192730000, 208384800, 189230800, 199573000, 193291900, 200053800, 187176300, 191556100, 184658400, 187620700, 192352300, 194293300, 211443100, 189079800, 198144600, 191388500, 166443300, 199462900, 181569600, 199998700, 201742900, 204338800, 182448500, 197972900, 188710300, 202022700, 183642800, 181101500, 188601100, 196682600, 199881000, 201541300, 146642400, 182561500, 200575500, 192645800, 192813700, 207852900, 176885100, 190001300, 203108000, 187474700, 187645300, 118548100, 124981500, 124931500, 188872600, 203109400, 203103900, 157560200, 124983000, 171243800, 171856700, 124982400, 
Tempos optimizedSelectionSort: 115706400, 110104500, 120268100, 109371800, 124987200, 124927500, 109363000, 109368000, 124983400, 125910000, 124993200, 120019400, 128910600, 132098900, 133256400, 115907100, 132863500, 123944000, 124929800, 118481300, 124493300, 124284800, 132428700, 120023300, 122872300, 120785600, 110911100, 109936500, 120644100, 110707000, 119066500, 125813400, 125042300, 109304600, 110233100, 109777800, 109655200, 124988000, 125829300, 110838700, 110302000, 110093700, 126542300, 125881100, 124986400, 110044800, 109784200, 124985500, 124924200, 125525700, 125981200, 126144700, 110322200, 126531000, 125831200, 125765700, 110834000, 110287300, 109532000, 110039400, 126355000, 125985900, 126062200, 125470400, 109852000, 109663600, 110051800, 125645600, 110150900, 110548800, 125945800, 109994600, 110109800, 110060600, 110251200, 125248600, 110032800, 126076900, 109979800, 109745000, 110095700, 110150400, 110420500, 126075900, 126005400, 110315300, 110179700, 125752500, 125876200, 125041300, 124993000, 124987500, 109302900, 109363600, 124936500, 124981800, 124925700, 109356100, 124980700, 124927400, 
Tempos gerar Lista optimizedSelectionSort: 124988600, 124989000, 125041800, 125040400, 127808700, 110559800, 125904800, 125528100, 125898900, 109360300, 109520100, 124987000, 113427100, 131555800, 124925000, 124901900, 126112400, 124832100, 126613400, 127586300, 128777500, 125230200, 125076600, 117324700, 120769800, 121878100, 121549700, 130006500, 120908500, 121665000, 121080200, 110732800, 110600100, 124988900, 125959000, 126154400, 125919400, 126519900, 109366200, 126091200, 126078800, 125802100, 110688300, 109856000, 109812300, 126568300, 125957000, 125754500, 109370700, 109423600, 110726900, 109841600, 110334500, 126472000, 110161300, 109358300, 126393100, 125218400, 126503900, 125588800, 110499800, 110041600, 110222600, 110047900, 126135200, 126242100, 125927600, 109938500, 126109100, 125815100, 125896500, 109800400, 126112800, 110060000, 125928600, 110269000, 109671100, 126019100, 109851800, 126258300, 125627300, 125425200, 126243300, 126098100, 110371800, 126103100, 126486200, 126106900, 110447400, 110455500, 124990700, 109350500, 109367000, 124986200, 125041500, 109362100, 109423800, 125049000, 109313100, 109422300, 
Tempos insertionSort: 46870100, 62437500, 46869200, 62486900, 62493300, 62493400, 62502700, 62497800, 62493000, 62497700, 62493000, 46869900, 62498300, 62498500, 62488100, 62503100, 62552000, 62489100, 62493300, 62435500, 62487600, 78116600, 62434300, 62562200, 93806200, 62494200, 62498000, 62552300, 78116700, 62488300, 62434300, 62493300, 62493200, 62493100, 93741500, 62500800, 62494400, 78116000, 62493300, 62497800, 78116500, 78117500, 78115200, 62487900, 93735200, 62487400, 62492700, 93739800, 46870100, 78116700, 78110900, 62492200, 78116300, 78122600, 78183200, 62493000, 46865200, 93735600, 62488500, 78121000, 93805500, 46870100, 78116500, 78122000, 62499200, 62498200, 78122800, 62493200, 62429200, 62473800, 62550500, 62555600, 78112000, 78060400, 62493100, 62493100, 93797000, 62498600, 78116300, 62493300, 62488100, 62493500, 78134900, 62498200, 62488700, 62488000, 62497800, 62494200, 62493200, 78116500, 62497500, 62493700, 62498900, 78116400, 62494700, 62487700, 62493300, 62500500, 62492900, 62493000, 
Tempos gerar Lista insertionSort: 124986300, 125047700, 124986800, 124987200, 109363300, 124986300, 109418500, 124921500, 109363600, 124981500, 109358900, 124986300, 124986600, 109358400, 124985700, 125042100, 109297600, 124932200, 156232400, 125044700, 124991800, 187479600, 125045000, 109363200, 156164000, 124975500, 109363200, 124925000, 218667100, 124991400, 109422000, 187479600, 124986200, 109363100, 234354100, 124980200, 109355600, 171855700, 124986400, 109363100, 140604900, 203103100, 109363400, 140615000, 249977600, 109368800, 124987000, 234349400, 124986400, 156232900, 140615100, 109364100, 124986600, 140609700, 187473500, 109296600, 140614700, 234353700, 109367800, 124986700, 249968000, 124920800, 156232900, 203102900, 124980700, 109413000, 140549100, 124980100, 109427300, 140664300, 203069400, 124927300, 171798700, 265652400, 109363000, 124986600, 218837800, 109306000, 124981100, 124986400, 124991600, 109363100, 140609200, 203084800, 109362500, 124991700, 109363100, 109363200, 124980800, 234349500, 109363500, 124986600, 109357700, 124980900, 109368000, 109362400, 124986300, 109363000, 124979400, 109363400, 
